,items,quantity,price_per_unit,Category,Priority
0,Apples,2.5,$1.50 ,Fresh_Produce,Low
1,Bananas,2.0,$2.50 ,Fresh_Produce,Low
2,Strawberries,0.5,$1.50 ,Fresh_Produce,Low
3,Avocados,1.5,$0.50 ,Fresh_Produce,Low
4,Bell Peppers,4.5,$1.42 ,Fresh_Produce,Low
5,Carrots,2.5,$1.57 ,Fresh_Produce,Low
6,Potatoes,3.5,$2.50 ,Fresh_Produce,Low
7,Spinach,1.5,$1.50 ,Fresh_Produce,Low
8,Tomatoes,6.5,$4.50 ,Fresh_Produce,Medium
9,Mangoes,5.5,$5.50 ,Fresh_Produce,Medium
10,Kiwi,2.5,$5.50 ,Fresh_Produce,Low
11,Papaya,5.5,$5.50 ,Fresh_Produce,Medium
12,Peaches,10.0,$7.51 ,Fresh_Produce,Medium
13,Pears,2.5,$5.50 ,Fresh_Produce,Low
14,Watermelon,10.5,$10.50 ,Fresh_Produce,Medium
15,Breadcrumbs,1.5,$12.50 ,Grains,Low
16,Pasta,2.5,$5.50 ,Grains,Low
17,Quinoa,0.5,$1.50 ,Grains,Low
18,Rice,5.0,$1.50 ,Grains,Low
19,Sandwich Bread,1.5,$1.50 ,Grains,Low
20,Tortillas,1.5,$1.50 ,Grains,Low
21,Oatmeal,10.5,$2.50 ,Grains,Medium
22,Barley,1.5,$3.50 ,Grains,Low
23,Bulgur,1.5,$1.50 ,Grains,Low
24,Couscous,1.5,$2.50 ,Grains,Low
25,Cornmeal,1.5,$3.50 ,Grains,Low
26,Whole wheat tortillas,0.5,$2.50 ,Grains,Low
27,Farro,0.5,$5.50 ,Grains,Low
28,Millet,0.5,$4.50 ,Grains,Low
29,Wild rice,12.5,$1.50 ,Grains,Medium
30,Chicken breasts,2.5,$5.50 ,Meat,Low
31,Ground beef,5.5,$8.50 ,Meat,Medium
32,Pork chops,0.5,$15.50 ,Meat,Low
33,Salmon fillets,12.5,$25.50 ,Meat,Medium
34,Turkey,2.5,$5.50 ,Meat,Low
35,Bacon,10.5,$35.50 ,Meat,Medium
36,Lamb chops,5.5,$15.50 ,Meat,Medium
37,Shrimp,0.5,$5.50 ,Meat,Low
38,Tilapia fillets,0.5,$9.50 ,Meat,Low
39,Sausages,1.5,$7.50 ,Meat,Low
40,Beef steaks,2.5,$15.50 ,Meat,Low
41,Ground turkey,3.5,$12.50 ,Meat,Low
